Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VSIMP1,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,CROSS,446.175000,,5.000000,TSQL,123.0,123.0,023,NN,FM,5.00,,,,,,
3,CHASSE,146.535000,,0.600000,Tone,110.9,110.9,023,NN,FM,5.00,,,,,,
4,Gilbert,147.570000,,0.600000,Tone,110.9,110.9,023,NN,FM,5.00,,,,,,
5,CORNWAL,147.180000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
6,RAOV,146.745000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,,,,,,
7,RAOU,443.950000,+,5.000000,TSQL,123.0,123.0,023,NN,FM,5.00,S,,,,,
8,VA2UHF,444.250000,+,5.000000,TSQL,141.3,141.3,023,NN,FM,5.00,S,,,,,
9,VE2RBH,145.410000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,S,,,,,
10,RAOAYL,146.745000,-,0.600000,Tone,110.9,123.0,023,NN,FM,5.00,S,,,,,
11,RAOBUC,146.745000,-,0.600000,Tone,131.8,123.0,023,NN,FM,5.00,S,,,,,
12,RAOCAN,146.745000,-,0.600000,Tone,141.3,123.0,023,NN,FM,5.00,S,,,,,
13,VE2RBL,147.195000,+,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
14,VA3LCC,146.790000,-,0.600000,Tone,156.7,156.7,023,NN,FM,5.00,,,,,,
15,VA2XAD2,145.350000,-,0.600000,TSQL,162.2,162.2,023,NN,FM,5.00,,,,,,
16,VA2XAD3,444.900000,+,5.000000,TSQL,162.2,162.2,023,NN,FM,5.00,,,,,,
17,REHGAT,147.105000,+,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,,,,,,
18,REHGAT,145.330000,-,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
19,REHULL,147.105000,+,0.600000,Tone,110.9,103.5,023,NN,FM,5.00,S,,,,,
20,REHCAN,444.600000,+,5.000000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
21,UA2CMB,444.700000,+,5.000000,TSQL,123.0,123.0,023,NN,FM,5.00,,,,,,
22,REHBUC,145.490000,-,0.600000,Tone,110.9,100.0,023,NN,FM,5.00,S,,,,,
23,REHLAN,147.525000,split,0.000023,TSQL,131.8,131.8,023,NN,FM,5.00,S,,,,,
24,REHMLA,147.105000,+,0.600000,TSQL,131.8,131.8,023,NN,FM,5.00,S,,,,,
25,REHPAC,145.330000,-,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
26,REHMAN,147.390000,+,0.600000,TSQL,114.8,114.8,023,NN,FM,5.00,S,,,,,
27,REHMAY,145.490000,-,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
28,REHPOR,442.800000,+,5.000000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
29,REHLAN,444.150000,+,5.000000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
30,REHMTL,444.600000,+,5.000000,TSQL,141.3,141.3,023,NN,FM,5.00,S,,,,,
31,REHANN,444.600000,+,5.000000,TSQL,114.8,114.8,023,NN,FM,5.00,S,,,,,
32,COVY HL1,147.210000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
33,COVY HL2,146.685000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
34,VE2KPG,147.360000,+,0.600000,TSQL,203.5,203.5,023,NN,FM,5.00,,,,,,
35,VE3MPC,147.150000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,UE3MPC,444.400000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,5.00,,,,,,
37,VE3TEL,147.030000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,UE2CRA,443.300000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,5.00,,,,,,
39,VE3TWO,147.300000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,,,,,,
40,UE3TWO,444.200000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,VE3TST,146.700000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,,,,,,
42,UE3TST,444.125000,+,5.000000,TSQL,136.5,136.5,023,NN,FM,5.00,,,,,,
43,UA3LGP,444.500000,+,5.000000,TSQL,123.0,123.0,023,NN,FM,5.00,,,,,,
44,UA3KTP,444.500000,+,5.000000,TSQL,146.2,146.2,023,NN,FM,5.00,,,,,,
45,UE3OCE,443.800000,+,5.000000,TSQL,136.5,136.5,023,NN,FM,5.00,,,,,,
46,UA3MTA,443.650000,+,5.000000,Tone,110.9,110.9,023,NN,FM,5.00,,,,,,
47,UA3SDG,444.450000,+,5.000000,Tone,110.9,110.9,023,NN,FM,5.00,,,,,,
48,VE3ORF,146.850000,-,0.600000,Tone,136.5,136.5,023,NN,FM,5.00,,,,,,
49,UE3ORF,444.550000,+,5.000000,Tone,151.4,151.4,023,NN,FM,5.00,,,,,,
50,UA3RCB,444.350000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,5.00,,,,,,
51,VA3LCC,146.790000,-,0.600000,Tone,136.5,136.5,023,NN,FM,5.00,,,,,,
52,VE3SVC,147.180000,+,0.600000,Tone,110.9,110.9,023,NN,FM,5.00,,,,,,
53,VE3KAR,147.090000,+,0.600000,Tone,151.4,151.4,023,NN,FM,5.00,,,,,,
54,VE3KBR,146.940000,-,0.600000,Tone,151.4,151.4,023,NN,FM,5.00,,,,,,
55,VE2RM,147.000000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
56,RIGAUD,147.000000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
57,RIGAUD2,145.210000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
59,VE2UQH,443.100000,+,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
60,PACKET,145.050000,,0.600000,,110.9,110.9,023,NN,FM,5.00,S,,,,,
61,LAC LARO,145.130000,-,0.600000,Tone,123.0,100.0,023,NN,FM,5.00,S,,,,,
62,DOMAINE1,145.490000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
63,DOMAINE2,144.830000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
64,VAL DOR,146.760000,-,0.600000,Tone,114.8,114.8,023,NN,FM,5.00,S,,,,,
65,SENNETER,145.110000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
66,V-MARIE,146.730000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
67,AMOS 1,147.150000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
68,AMOS 2,147.300000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
69,ROUYN 1,146.820000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
70,ROUYN 2,147.090000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
71,MURS 1,151.820000,,0.000000,Tone,67.0,67.0,023,NN,FM,5.00,,,,,,
72,MURS 2,151.880000,,0.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
73,MURS 3,151.940000,,0.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
74,MURS 4,154.570000,,0.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
75,MURS 5,154.600000,,0.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
76,BUSRED,151.625000,,0.000000,Tone,67.0,67.0,023,NN,FM,5.00,S,,,,,
