Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VE2RAO,146.745000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,,,,,,
2,VE2RBH,145.410000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,,,,,,
3,VE2REH1,147.105000,+,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,,,,,,
4,VE2REH2,145.490000,-,0.600000,Tone,100.0,110.9,023,NN,FM,5.00,S,,,,,
5,REH-Meo3,145.490000,-,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
6,REH-Mari,146.610000,-,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
7,REH-Hull,147.105000,+,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,S,,,,,
8,Chasse M,146.535000,,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,,,,,,
9,Rep Port,144.100000,split,0.000009,TSQL,123.0,123.0,023,NN,FM,5.00,S,,,,,
10,Lancaste,147.525000,split,0.000010,TSQL,131.8,131.8,023,NN,FM,5.00,S,,,,,
11,Mont Lau,147.105000,+,0.600000,TSQL,131.8,131.8,023,NN,FM,5.00,S,,,,,
12,REH-Pack,145.330000,-,0.600000,TSQL,110.9,110.9,023,NN,FM,5.00,S,,,,,
13,Bois-Fra,145.170000,,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
14,Mansfiel,147.390000,+,0.600000,TSQL,114.8,114.8,023,NN,FM,5.00,S,,,,,
15,VE2NTM,144.010000,split,0.000015,Tone,110.9,110.9,023,NN,FM,5.00,S,,,,,
16,VA2CMB,444.700000,+,5.000000,TSQL,123.0,123.0,023,NN,FM,12.50,,,,,,
17,VA3EMV,146.880000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
18,RIGAUD,147.000000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
19,RIGAUD2,145.210000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,,,,,
20,APPEL,146.520000,,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
21,PACKET,145.050000,,0.600000,,110.9,110.9,023,NN,FM,5.00,S,,,,,
22,*APRS-VA,144.390000,,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
23,**APRS**,144.390000,,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
24,VE2UQH,443.100000,+,0.600000,,100.0,100.0,023,NN,FM,5.00,,,,,,
25,MT LAURI,146.970000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
26,MT TREMB,146.720000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
27,BROWNSBG,146.805000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
